jour_de_tirage;date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
vendredi;2025-05-23;49;43;29;46;10;12;7;-10-29-43-46-49-;-7-12-
mardi;2025-05-20;47;1;29;8;13;5;6;-1-8-13-29-47-;-5-6-
vendredi;2025-05-16;25;9;37;46;6;6;12;-6-9-25-37-46-;-6-12-
mardi;2025-05-13;19;9;44;47;50;2;9;-9-19-44-47-50-;-2-9-
vendredi;2025-05-09;15;18;25;47;29;9;5;-15-18-25-29-47-;-5-9-
mardi;2025-05-06;23;24;47;48;8;4;9;-8-23-24-47-48-;-4-9-
vendredi;2025-05-02;21;49;5;3;19;1;10;-3-5-19-21-49-;-1-10-
mardi;2025-04-29;24;30;41;2;9;11;1;-2-9-24-30-41-;-1-11-
vendredi;2025-04-25;13;32;39;41;22;1;12;-13-22-32-39-41-;-1-12-
mardi;2025-04-22;37;47;33;7;28;9;12;-7-28-33-37-47-;-9-12-
vendredi;2025-04-18;20;48;39;35;27;3;8;-20-27-35-39-48-;-3-8-
mardi;2025-04-15;3;31;38;44;33;12;6;-3-31-33-38-44-;-6-12-
vendredi;2025-04-11;14;34;46;49;28;3;8;-14-28-34-46-49-;-3-8-
mardi;2025-04-08;15;3;48;14;49;1;7;-3-14-15-48-49-;-1-7-
vendredi;2025-04-04;50;27;39;45;41;7;5;-27-39-41-45-50-;-5-7-
mardi;2025-04-01;30;49;46;9;24;4;12;-9-24-30-46-49-;-4-12-
vendredi;2025-03-28;10;21;30;45;42;1;9;-10-21-30-42-45-;-1-9-
mardi;2025-03-25;36;3;18;33;1;6;2;-1-3-18-33-36-;-2-6-
vendredi;2025-03-21;9;17;18;21;50;12;5;-9-17-18-21-50-;-5-12-
mardi;2025-03-18;46;9;35;4;50;8;11;-4-9-35-46-50-;-8-11-
vendredi;2025-03-14;8;33;49;35;10;2;9;-8-10-33-35-49-;-2-9-
mardi;2025-03-11;36;37;42;47;13;11;7;-13-36-37-42-47-;-7-11-
vendredi;2025-03-07;32;6;48;27;10;8;3;-6-10-27-32-48-;-3-8-
mardi;2025-03-04;29;42;15;20;35;9;2;-15-20-29-35-42-;-2-9-
vendredi;2025-02-28;43;31;46;16;7;9;5;-7-16-31-43-46-;-5-9-
mardi;2025-02-25;23;24;44;17;22;11;6;-17-22-23-24-44-;-6-11-
vendredi;2025-02-21;1;43;3;20;11;11;2;-1-3-11-20-43-;-2-11-
mardi;2025-02-18;26;40;5;25;14;5;7;-5-14-25-26-40-;-5-7-
vendredi;2025-02-14;38;14;36;31;4;10;3;-4-14-31-36-38-;-3-10-
mardi;2025-02-11;21;3;46;36;41;6;1;-3-21-36-41-46-;-1-6-
vendredi;2025-02-07;10;24;45;29;23;8;10;-10-23-24-29-45-;-8-10-
mardi;2025-02-04;29;43;3;39;4;5;10;-3-4-29-39-43-;-5-10-
vendredi;2025-01-31;30;41;49;44;22;7;2;-22-30-41-44-49-;-2-7-
mardi;2025-01-28;42;41;37;49;9;9;1;-9-37-41-42-49-;-1-9-
vendredi;2025-01-24;30;2;19;49;11;3;8;-2-11-19-30-49-;-3-8-
mardi;2025-01-21;8;6;14;27;41;5;4;-6-8-14-27-41-;-4-5-
vendredi;2025-01-17;24;42;15;35;8;8;6;-8-15-24-35-42-;-6-8-
